iter	Passed	Remaining
0	1	1254
1	2	1176
2	3	1013
3	3	977
4	4	940
5	5	949
6	6	943
7	7	948
8	8	926
9	9	917
10	10	912
11	10	893
12	11	894
13	12	856
14	13	858
15	13	851
16	14	857
17	15	846
18	16	853
19	17	852
20	17	835
21	19	849
22	20	852
23	20	850
24	21	857
25	22	859
26	24	865
27	25	867
28	25	867
29	26	854
30	27	849
31	28	849
32	28	846
33	30	859
34	31	862
35	32	858
36	32	851
37	33	840
38	34	842
39	34	827
40	35	825
41	36	825
42	37	826
43	39	849
44	40	860
45	41	871
46	43	879
47	44	879
48	45	888
49	46	882
50	47	884
51	48	887
52	50	896
53	51	896
54	52	903
55	54	915
56	56	930
57	57	935
58	58	939
59	60	943
60	61	941
61	61	931
62	62	930
63	63	924
64	64	920
65	64	914
66	65	912
67	67	919
68	68	921
69	69	920
70	71	936
71	72	934
72	73	933
73	74	931
74	75	928
75	76	927
76	77	926
77	78	922
78	78	919
79	79	917
80	80	914
81	81	912
82	82	909
83	83	907
84	84	906
85	84	899
86	85	896
87	86	894
88	87	891
89	87	889
90	88	886
91	89	882
92	90	880
93	91	878
94	91	876
95	92	873
96	93	873
97	94	870
98	95	869
99	96	871
100	97	870
101	98	870
102	99	868
103	100	869
104	101	868
105	102	864
106	103	863
107	104	863
108	105	862
109	106	861
110	107	860
111	108	859
112	109	858
113	110	860
114	111	860
115	112	857
116	113	859
117	114	858
118	115	857
119	116	857
120	117	856
121	118	854
122	119	852
123	120	850
124	121	848
125	122	847
126	122	843
127	123	842
128	124	841
129	125	841
130	126	841
131	128	844
132	129	843
133	130	846
134	131	842
135	132	840
136	133	839
137	134	838
138	135	837
139	135	834
140	136	831
141	137	831
142	138	831
143	139	831
144	140	828
145	141	828
146	143	831
147	143	828
148	144	827
149	146	827
150	146	825
151	147	824
152	148	819
153	149	819
154	149	817
155	151	817
156	152	818
157	153	819
158	155	823
159	156	824
160	158	826
161	159	825
162	160	824
163	161	822
164	162	822
165	163	820
166	164	821
167	165	820
168	167	821
169	167	820
170	168	817
171	169	816
172	170	814
173	171	812
174	172	811
175	172	809
176	173	808
177	174	806
178	175	804
179	176	802
180	177	801
181	177	799
182	178	798
183	179	797
184	181	798
185	182	797
186	183	796
187	183	794
188	184	791
189	185	790
190	186	790
191	187	789
192	188	788
193	189	787
194	190	786
195	191	784
196	192	783
197	192	780
198	193	779
199	194	778
200	195	779
201	196	777
202	197	776
203	198	775
204	199	774
205	200	774
206	201	773
207	202	771
208	203	770
209	204	768
210	205	766
211	205	765
212	206	763
213	207	762
214	208	760
215	209	759
216	210	759
217	211	758
218	212	756
219	213	755
220	214	754
221	215	754
222	216	754
223	217	752
224	217	750
225	218	749
226	219	748
227	220	746
228	221	745
229	222	744
230	223	743
231	224	742
232	225	741
233	226	740
234	227	739
235	228	738
236	228	736
